,Exp_553,Exp_401,Exp_266,Exp_62,Exp_111,Exp_567,Exp_570,Exp_500,Exp_52,Exp_222,Exp_587,Exp_17,Exp_462,Exp_271,Exp_49,Exp_451,Exp_502,Exp_86,Exp_612,Exp_509,Exp_12,Exp_208,Exp_529,Exp_128,Exp_56,Exp_635,Exp_93,Exp_313,Exp_446,Exp_643,Exp_223,Exp_315,Exp_649,Exp_191,Exp_445,Exp_518,Exp_365,Exp_356,Exp_420,Exp_547,Exp_103,Exp_690,Exp_693,Exp_367,Exp_325,Exp_182,Exp_124,Exp_272,Exp_332,Exp_732,Exp_733,Exp_737,Exp_23,Exp_460
 1.6199943  1.5885243  1.5295825  1.5488138  1.3215069  1.2782719
 1.1756426  1.3353429  1.3014938  1.3872604  1.4266067  1.3383166
 1.348243   1.5115991  1.5764471  1.0918144  1.5147419  1.4950699
 1.4869895  1.2059261  1.564459   1.3828653  1.6552459  1.5759292
 1.5655662  1.3790574  1.3012859  1.5460614  1.5872015  1.3457628
 1.3642707  1.6829144  1.19962    1.7743671  1.3609786  1.1541156
 1.9353384  1.4200528  1.4246817  1.3838923  1.4756473  1.1352772
 1.5782316  1.4661957  1.6589011  1.1771702  1.4285706  1.781563
 1.2720704  1.5253959  1.6017435  1.8626819  1.6175928  1.2509453
 1.9260603  1.4909695  1.6226044  1.1684014  1.2680959  1.2593471
 1.43772    1.3963494  1.6272564  1.3656064  1.4052802  1.2272449
 1.2332338  1.2678071  1.1925155  1.2893212  1.403491   1.4105464
 1.4493127  1.0253674  1.6605139  1.6459329  1.8164006  1.5734582
 1.4986969  1.4300938  1.5165445  1.7275032  1.5882784  2.0029428
 1.5384926  1.4791619  1.275047   1.2239312  1.3430642  1.3724952
 1.4408838  1.2797014  1.4874586  1.184681   1.7161921  1.5606302
 1.3299199  1.3615575  1.4090711  1.5884079  0.9485492  1.3405204
 1.5935187  1.1792979  1.2742946  1.3260841  1.1322726  1.3103565
 1.8441849  1.60152    1.3501211  1.6189886  1.6394699  1.1139888
 1.4852893  1.4999969  1.337814   1.0250584  1.6751009  1.7502738
 1.923764   1.538491   1.2674088  1.1372557  1.406992   1.546258
 1.2419186  1.2193162  1.1761931  1.3244661  1.3055488  1.0640125
 1.6108861  1.2563092  1.4693432  1.3163143  1.2190491  1.6904645
 1.2558646  1.1942108  1.2973168  1.3029859  1.2964586  1.0302427
 1.581044   1.2739233  1.0984039  1.4413822  1.3792591  1.4072323
 1.3100563  1.8211371  1.0052913  1.3180323  1.2038378  1.118067
 1.1309435  1.3463693  1.2721919  1.3057545  1.3203622  1.6179274
 1.467656   1.4276158  2.0495038  1.1719239  1.476944   1.248539
 1.7260543  0.9956286  1.0856388  1.3007545  1.4052253  1.2751286
 1.3518718  1.2674986  1.4403077  1.5271229  1.2699354  1.4182224
 1.143035   1.2395161  1.3749428  1.3858078  1.3179908  1.1493874
 1.3520713  1.260316   1.5047661  1.8742002  1.383624   1.2542757
 1.4321185  1.2910546  1.2039181  1.4447201  1.4658483  1.5686251
 1.4992586  1.1275289  1.3481178  1.1118412  1.4102541  1.4627244
 1.3174077  1.42607    1.3992349  1.5609413  1.1072689  1.3331264
 1.3495436  1.3596308  1.3249365  1.1222922  1.2450837  1.4362915
 1.8200144  1.5116792  1.4232675  1.5467254  1.6213303  1.204838
 1.2143209  1.3848921  1.4562399  1.4511888  1.3264276  1.4149492
 1.380337   1.345176   1.3762879  1.5738057  1.4579798  1.3366379
 1.5298821  1.0600295  1.7258862  1.2021203  1.5732231  1.2130821
 1.2385838  1.7870976  1.1291736  1.1426413  1.6411484  1.1790724
 1.2692883  1.3446866  1.2647448  1.2628576  1.8606406  1.5507418
 1.6739303  1.0086583  1.4741539  1.4029887  1.2526337  1.5713342
 1.4458636  1.2861627  1.5176649  1.653166   1.7184223  1.2404194
 1.2692484  1.5053319  1.5349735  1.3081379  1.5193105  1.1994262
 1.4036953  1.633263   1.680531   1.4291636  1.5520402  1.354061
 1.3237128  1.255333   1.2853805  1.1631579  1.52011    1.1042199
 1.181164   1.9003186  1.3637354  1.7451305  1.3558089  1.8712546
 1.5897179  1.506775   1.2493302  1.6341349  1.3296891  1.279071
 1.6160169  1.3210138  1.4010506  1.3771417  1.5979227  1.6251469
 1.5871522  1.2165616  1.34568    1.2585422  1.3422731  1.2797816
 1.2374656  1.4524193  1.3446008  1.2607048  1.2542771  1.2528305
 1.3309653  1.5592741  1.2329777  1.4183056  1.4983149  1.1585113 ]","[3.0297015  1.3285446  1.7288141  2.4424002  2.4123092  2.1449313
 1.6717576  2.567262   2.905465   2.5950663  2.9095433  1.8638487
 2.4519143  1.7976393  2.4423444  2.423632   2.3262596  2.0318089
 2.1944683  2.422075   1.3294826  2.2980926  3.0208118  2.611853
 2.5092828  2.6138222  1.9257023  2.3255346  2.4991012  3.0735466
 2.8447638  2.428486   2.8178282  1.859676   2.1361835  1.8059239
 3.5079422  2.9433787  2.734712   2.6079512  3.9505458  1.729948
 2.6435578  2.2929022  3.919589   1.8045858  1.8119509  2.55491
